Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",120.460000,-97.320000,180.000000,top
"C1","1uF","C_0402_1005Metric",133.150000,-94.490000,90.000000,top
"C2","10uF","C_0402_1005Metric",125.810000,-101.280000,180.000000,top
"C3","44uF","C_0805_2012Metric",130.630000,-94.420000,180.000000,top
"C4","10uF","C_0402_1005Metric",127.790000,-97.290000,180.000000,top
"C5","47uF","C_0805_2012Metric",130.630000,-96.570000,180.000000,top
"C6","10uF","C_0402_1005Metric",132.180000,-98.070000,180.000000,top
"C7","10uF","C_0402_1005Metric",137.840000,-85.280000,-90.000000,top
"C8","100nF","C_0201_0603Metric",132.720000,-83.970000,180.000000,top
"C9","10uF","C_0402_1005Metric",137.840000,-87.230000,90.000000,top
"C10","10uF","C_0402_1005Metric",127.690000,-85.510000,90.000000,top
"C11","10uF","C_0402_1005Metric",127.680000,-87.340000,90.000000,top
"C12","22uF","C_0805_2012Metric",132.730000,-82.570000,0.000000,top
"C13","22uF","C_0805_2012Metric",136.210000,-86.290000,90.000000,top
"C14","22uF","C_0805_2012Metric",129.330000,-86.420000,90.000000,top
"C15","0.1uF","C_0201_0603Metric",102.130000,-69.165000,-90.000000,top
"C16","2.2uF","C_0402_1005Metric",106.700000,-67.295000,90.000000,top
"C17","22uF","C_0805_2012Metric",103.230000,-76.480000,90.000000,top
"C18","22uF","C_0805_2012Metric",105.390000,-76.480000,90.000000,top
"C19","100nF","C_0201_0603Metric",108.945000,-76.435000,-90.000000,top
"C20","100nF","C_0201_0603Metric",110.185000,-74.895000,0.000000,top
"C21","100nF","C_0201_0603Metric",124.320000,-94.590000,180.000000,top
"C22","100nF","C_0201_0603Metric",123.470000,-92.120000,-90.000000,top
"C23","2.2uF","C_0402_1005Metric",124.270000,-87.980000,45.000000,top
"C24","1uF","C_0402_1005Metric",115.020000,-93.260000,90.000000,top
"C25","1uF","C_0402_1005Metric",108.960000,-85.840000,90.000000,top
"C26","1uF","C_0402_1005Metric",109.350000,-80.580000,0.000000,top
"C27","10uF","C_0402_1005Metric",108.720000,-84.360000,0.000000,top
"C28","100nF","C_0201_0603Metric",120.760000,-91.600000,180.000000,top
"C29","100nF","C_0201_0603Metric",125.720000,-86.170000,0.000000,top
"C30","100nF","C_0201_0603Metric",119.900000,-76.640000,0.000000,top
"C31","100nF","C_0201_0603Metric",109.350000,-81.720000,0.000000,top
"C32","100nF","C_0201_0603Metric",119.540000,-92.820000,0.000000,top
"C33","20pF","C_0201_0603Metric",111.790000,-90.860000,-90.000000,top
"C34","20pF","C_0201_0603Metric",107.935000,-94.200000,0.000000,top
"C35","20pF","C_0201_0603Metric",103.345000,-90.710000,0.000000,top
"C36","20pF","C_0201_0603Metric",105.515000,-90.720000,180.000000,top
"C37","100nF","C_0201_0603Metric",115.900000,-94.860000,0.000000,top
"D1","LED","LED_0402_1005Metric",121.260000,-94.320000,180.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",137.300000,-96.850000,90.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",109.140000,-98.000000,-90.000000,top
"L1","1uH","L2520",125.380000,-97.440000,90.000000,top
"L2","1.5uH","IND-SMD_L4.0-W4.0-A",132.680000,-90.390000,0.000000,top
"L3","5.6uH","IND-SMD_L3.0-W3.0",104.390000,-72.270000,90.000000,top
"L4","FCM1608KF-601T03","L0603",117.140000,-92.760000,0.000000,top
"LED1","WS2812B-2020","LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020",105.470000,-81.200000,0.000000,top
"LED2","WS2812B-2020","LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020",105.570000,-87.540000,0.000000,top
"R1","5.1 K","R_0201_0603Metric",116.830000,-71.235000,180.000000,top
"R2","5.1 K","R_0201_0603Metric",113.155000,-71.265000,0.000000,top
"R3","10K","R_0201_0603Metric",135.530000,-101.700000,180.000000,top
"R4","10K","R_0201_0603Metric",136.000000,-100.250000,-90.000000,top
"R5","10K","R_0201_0603Metric",135.200000,-100.230000,-90.000000,top
"R6","10K","R_0201_0603Metric",133.380000,-100.320000,-90.000000,top
"R7","383","R_0201_0603Metric",125.720000,-100.350000,0.000000,top
"R8","10K","R_0201_0603Metric",132.570000,-100.300000,90.000000,top
"R9","30.1K","R_0201_0603Metric",128.170000,-93.210000,-90.000000,top
"R10","10K","R_0201_0603Metric",129.650000,-92.860000,0.000000,top
"R11","5.23K","R_0201_0603Metric",132.930000,-99.210000,0.000000,top
"R12","10K","R_0201_0603Metric",134.420000,-84.180000,0.000000,top
"R13","10K","R_0201_0603Metric",131.060000,-84.180000,180.000000,top
"R14","100k","R_0402_1005Metric",107.030000,-69.445000,90.000000,top
"R15","22.1k","R_0201_0603Metric",107.870000,-66.820000,90.000000,top
"R16","10K","R_0201_0603Metric",131.460000,-80.482500,0.000000,top
"R17","10K","R_0201_0603Metric",129.860000,-80.512500,180.000000,top
"R18","10K","R_0201_0603Metric",128.570000,-80.792500,90.000000,top
"R19","10K","R_0201_0603Metric",127.390000,-80.482500,180.000000,top
"R20","10K","R_0201_0603Metric",135.650000,-80.580000,0.000000,top
"R21","10K","R_0201_0603Metric",134.030000,-80.590000,180.000000,top
"R22","10k","R_0201_0603Metric",118.320000,-94.860000,180.000000,top
"R23","330","R_0201_0603Metric",108.780000,-87.290000,180.000000,top
"RESET","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",113.850000,-97.360000,0.000000,top
"SD Card","TF-01A","TF-SMD_TF-01A",129.690000,-73.880000,180.000000,top
"SERVO HEADERS","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",109.150000,-101.880000,-90.000000,top
"U1","TPS63070RNMR","VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR",132.720000,-86.110000,180.000000,top
"U2","BMP580","LGA-10_L2.0-W2.0-P0.50-TL_BMP580",110.490000,-76.350000,0.000000,top
"U3","BQ25883RGER","VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8",129.570000,-100.320000,0.000000,top
"U4","ICM-45686","LGA-14_L3.0-W2.5-P0.50-TL",125.500000,-92.350000,-90.000000,top
"U5","STM32F722RETx","LQFP-64_10x10mm_P0.5mm",117.160000,-84.520000,45.000000,top
"U6","LMR51430","SOT-23-6",104.270000,-67.782500,90.000000,top
"USB1","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-6PIN-2MD-073",115.250000,-67.660000,180.000000,top
"X1","X322525MOB4SI","CRYSTAL-SMD_4P-L3.2-W2.5-BL",109.040000,-91.740000,180.000000,top
"X2","Q13FC1350000400","FC-135R_L3.2-W1.5",104.280000,-92.450000,0.000000,top
